-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/1981 through 01/01/2014 in LST
Location: latitude  28.4833   longitude 85.0 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 4097.45 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR
1981,1,1,0.0
1981,1,2,0.0
1981,1,3,0.0
1981,1,4,0.0
1981,1,5,0.26
1981,1,6,0.13
1981,1,7,1.35
1981,1,8,0.29
1981,1,9,0.0
1981,1,10,0.0
1981,1,11,0.0
1981,1,12,0.02
1981,1,13,4.01
1981,1,14,0.0
1981,1,15,0.0
1981,1,16,0.0
1981,1,17,0.49
1981,1,18,0.83
1981,1,19,0.03
1981,1,20,0.0
1981,1,21,0.0
1981,1,22,0.01
1981,1,23,0.11
1981,1,24,5.04
1981,1,25,10.73
1981,1,26,2.76
1981,1,27,0.0
1981,1,28,0.0
1981,1,29,0.0
1981,1,30,0.0
1981,1,31,0.11
1981,2,1,0.0
1981,2,2,0.07
1981,2,3,0.0
1981,2,4,0.0
1981,2,5,0.0
1981,2,6,0.43
1981,2,7,0.0
1981,2,8,0.0
1981,2,9,0.0
1981,2,10,0.0
1981,2,11,0.0
1981,2,12,0.0
1981,2,13,0.0
1981,2,14,0.0
1981,2,15,0.0
1981,2,16,0.0
1981,2,17,0.0
1981,2,18,0.0
1981,2,19,0.0
1981,2,20,0.0
1981,2,21,0.0
1981,2,22,0.0
1981,2,23,0.0
1981,2,24,0.0
1981,2,25,0.0
1981,2,26,0.0
1981,2,27,0.0
1981,2,28,0.34
1981,3,1,0.54
1981,3,2,0.04
1981,3,3,0.0
1981,3,4,0.0
1981,3,5,0.0
1981,3,6,0.0
1981,3,7,0.06
1981,3,8,0.0
1981,3,9,0.05
1981,3,10,0.26
1981,3,11,0.43
1981,3,12,0.04
1981,3,13,0.15
1981,3,14,0.0
1981,3,15,0.05
1981,3,16,3.0
1981,3,17,0.38
1981,3,18,0.0
1981,3,19,0.04
1981,3,20,0.0
1981,3,21,6.85
1981,3,22,0.0
1981,3,23,0.01
1981,3,24,0.01
1981,3,25,0.1
1981,3,26,1.32
1981,3,27,0.03
1981,3,28,0.0
1981,3,29,0.0
1981,3,30,2.7
1981,3,31,4.25
1981,4,1,3.41
1981,4,2,0.04
1981,4,3,0.0
1981,4,4,0.0
1981,4,5,0.0
1981,4,6,0.0
1981,4,7,0.0
1981,4,8,0.0
1981,4,9,0.0
1981,4,10,0.0
1981,4,11,3.52
1981,4,12,7.07
1981,4,13,1.48
1981,4,14,3.01
1981,4,15,2.71
1981,4,16,15.92
1981,4,17,5.57
1981,4,18,3.56
1981,4,19,0.64
1981,4,20,0.59
1981,4,21,0.0
1981,4,22,0.01
1981,4,23,0.36
1981,4,24,0.0
1981,4,25,0.0
1981,4,26,1.09
1981,4,27,0.02
1981,4,28,0.44
1981,4,29,0.44
1981,4,30,0.16
1981,5,1,0.85
1981,5,2,1.01
1981,5,3,0.13
1981,5,4,0.44
1981,5,5,0.29
1981,5,6,1.74
1981,5,7,0.64
1981,5,8,0.38
1981,5,9,2.81
1981,5,10,0.15
1981,5,11,0.65
1981,5,12,8.53
1981,5,13,0.0
1981,5,14,2.3
1981,5,15,2.28
1981,5,16,21.87
1981,5,17,0.05
1981,5,18,0.45
1981,5,19,0.19
1981,5,20,0.62
1981,5,21,2.7
1981,5,22,2.51
1981,5,23,3.45
1981,5,24,2.94
1981,5,25,0.06
1981,5,26,2.49
1981,5,27,8.53
1981,5,28,11.51
1981,5,29,0.39
1981,5,30,0.15
1981,5,31,1.62
1981,6,1,4.67
1981,6,2,2.79
1981,6,3,0.33
1981,6,4,0.01
1981,6,5,1.56
1981,6,6,0.88
1981,6,7,0.0
1981,6,8,0.11
1981,6,9,4.65
1981,6,10,1.2
1981,6,11,0.16
1981,6,12,0.17
1981,6,13,0.09
1981,6,14,0.0
1981,6,15,3.26
1981,6,16,0.16
1981,6,17,0.28
1981,6,18,0.48
1981,6,19,0.11
1981,6,20,0.63
1981,6,21,0.18
1981,6,22,0.8
1981,6,23,0.85
1981,6,24,0.51
1981,6,25,1.35
1981,6,26,11.59
1981,6,27,5.03
1981,6,28,14.03
1981,6,29,80.66
1981,6,30,10.48
1981,7,1,3.51
1981,7,2,2.88
1981,7,3,10.53
1981,7,4,14.62
1981,7,5,2.94
1981,7,6,1.07
1981,7,7,2.91
1981,7,8,3.93
1981,7,9,0.43
1981,7,10,0.5
1981,7,11,4.59
1981,7,12,7.42
1981,7,13,8.0
1981,7,14,5.86
1981,7,15,14.8
1981,7,16,12.17
1981,7,17,4.88
1981,7,18,13.46
1981,7,19,4.02
1981,7,20,6.66
1981,7,21,4.29
1981,7,22,4.1
1981,7,23,7.54
1981,7,24,8.84
1981,7,25,2.02
1981,7,26,4.04
1981,7,27,4.56
1981,7,28,8.34
1981,7,29,7.41
1981,7,30,4.16
1981,7,31,6.56
1981,8,1,0.72
1981,8,2,0.53
1981,8,3,0.71
1981,8,4,1.54
1981,8,5,0.61
1981,8,6,0.8
1981,8,7,9.46
1981,8,8,2.72
1981,8,9,2.22
1981,8,10,2.52
1981,8,11,17.71
1981,8,12,11.31
1981,8,13,2.38
1981,8,14,3.21
1981,8,15,1.14
1981,8,16,0.11
1981,8,17,0.81
1981,8,18,7.22
1981,8,19,18.12
1981,8,20,26.47
1981,8,21,9.1
1981,8,22,4.19
1981,8,23,1.22
1981,8,24,1.48
1981,8,25,11.59
1981,8,26,10.99
1981,8,27,3.54
1981,8,28,1.78
1981,8,29,0.02
1981,8,30,0.02
1981,8,31,0.18
1981,9,1,0.52
1981,9,2,0.15
1981,9,3,0.52
1981,9,4,4.78
1981,9,5,0.98
1981,9,6,0.55
1981,9,7,2.02
1981,9,8,1.5
1981,9,9,10.89
1981,9,10,2.48
1981,9,11,0.23
1981,9,12,0.05
1981,9,13,0.34
1981,9,14,2.8
1981,9,15,1.6
1981,9,16,0.38
1981,9,17,0.26
1981,9,18,0.18
1981,9,19,0.41
1981,9,20,0.59
1981,9,21,0.19
1981,9,22,0.0
1981,9,23,0.0
1981,9,24,0.0
1981,9,25,0.01
1981,9,26,0.05
1981,9,27,1.32
1981,9,28,2.53
1981,9,29,15.52
1981,9,30,0.52
1981,10,1,0.0
1981,10,2,0.0
1981,10,3,0.0
1981,10,4,0.2
1981,10,5,0.97
1981,10,6,0.0
1981,10,7,0.0
1981,10,8,0.0
1981,10,9,0.0
1981,10,10,0.0
1981,10,11,0.0
1981,10,12,0.0
1981,10,13,0.0
1981,10,14,0.0
1981,10,15,0.0
1981,10,16,0.0
1981,10,17,0.0
1981,10,18,0.0
1981,10,19,0.0
1981,10,20,0.0
1981,10,21,0.0
1981,10,22,0.0
1981,10,23,0.0
1981,10,24,0.01
1981,10,25,0.0
1981,10,26,0.05
1981,10,27,0.0
1981,10,28,0.0
1981,10,29,0.0
1981,10,30,0.0
1981,10,31,0.64
1981,11,1,0.81
1981,11,2,1.66
1981,11,3,7.74
1981,11,4,6.38
1981,11,5,0.01
1981,11,6,0.0
1981,11,7,0.0
1981,11,8,0.0
1981,11,9,0.0
1981,11,10,0.0
1981,11,11,0.0
1981,11,12,0.0
1981,11,13,0.18
1981,11,14,0.87
1981,11,15,0.19
1981,11,16,0.0
1981,11,17,0.0
1981,11,18,0.0
1981,11,19,0.0
1981,11,20,0.0
1981,11,21,0.0
1981,11,22,0.0
1981,11,23,0.0
1981,11,24,0.0
1981,11,25,0.0
1981,11,26,0.0
1981,11,27,0.0
1981,11,28,0.0
1981,11,29,0.02
1981,11,30,0.02
1981,12,1,0.0
1981,12,2,0.0
1981,12,3,0.0
1981,12,4,0.08
1981,12,5,0.0
1981,12,6,0.0
1981,12,7,0.01
1981,12,8,0.0
1981,12,9,0.09
1981,12,10,0.02
1981,12,11,0.0
1981,12,12,0.0
1981,12,13,0.0
1981,12,14,0.0
1981,12,15,0.0
1981,12,16,0.0
1981,12,17,0.0
1981,12,18,0.16
1981,12,19,0.0
1981,12,20,0.01
1981,12,21,0.0
1981,12,22,0.0
1981,12,23,0.0
1981,12,24,0.0
1981,12,25,0.0
1981,12,26,0.0
1981,12,27,0.03
1981,12,28,0.0
1981,12,29,0.0
1981,12,30,0.0
1981,12,31,0.0
1982,1,1,0.0
1982,1,2,0.0
1982,1,3,0.0
1982,1,4,0.0
1982,1,5,0.0
1982,1,6,0.0
1982,1,7,0.0
1982,1,8,0.0
1982,1,9,0.0
1982,1,10,0.01
1982,1,11,0.03
1982,1,12,0.0
1982,1,13,0.0
1982,1,14,0.0
1982,1,15,0.0
1982,1,16,0.0
1982,1,17,0.0
1982,1,18,0.0
1982,1,19,0.0
1982,1,20,3.86
1982,1,21,16.58
1982,1,22,0.01
1982,1,23,0.0
1982,1,24,0.0
1982,1,25,0.9
1982,1,26,4.52
1982,1,27,45.51
1982,1,28,0.04
1982,1,29,0.01
1982,1,30,0.0
1982,1,31,0.75
1982,2,1,0.64
1982,2,2,0.0
1982,2,3,0.12
1982,2,4,0.01
1982,2,5,0.0
1982,2,6,0.0
1982,2,7,0.0
1982,2,8,0.17
1982,2,9,0.0
1982,2,10,0.85
1982,2,11,0.19
1982,2,12,0.49
1982,2,13,0.0
1982,2,14,0.0
1982,2,15,0.0
1982,2,16,0.42
1982,2,17,0.43
1982,2,18,0.03
1982,2,19,0.0
1982,2,20,0.0
1982,2,21,0.0
1982,2,22,0.0
1982,2,23,0.0
1982,2,24,0.0
1982,2,25,0.0
1982,2,26,0.0
1982,2,27,0.0
1982,2,28,0.86
1982,3,1,1.89
1982,3,2,1.43
1982,3,3,1.24
1982,3,4,0.01
1982,3,5,3.35
1982,3,6,0.34
1982,3,7,0.01
1982,3,8,0.0
1982,3,9,0.0
1982,3,10,0.0
1982,3,11,0.0
1982,3,12,0.0
1982,3,13,0.0
1982,3,14,0.0
1982,3,15,0.0
1982,3,16,0.0
1982,3,17,0.25
1982,3,18,0.0
1982,3,19,0.04
1982,3,20,0.0
1982,3,21,0.0
1982,3,22,0.0
1982,3,23,0.03
1982,3,24,2.19
1982,3,25,0.2
1982,3,26,0.01
1982,3,27,0.0
1982,3,28,0.0
1982,3,29,0.0
1982,3,30,0.0
1982,3,31,0.0
1982,4,1,0.0
1982,4,2,0.0
1982,4,3,0.0
1982,4,4,0.0
1982,4,5,0.0
1982,4,6,0.0
1982,4,7,0.0
1982,4,8,0.0
1982,4,9,0.0
1982,4,10,0.0
1982,4,11,0.0
1982,4,12,0.02
1982,4,13,0.0
1982,4,14,0.01
1982,4,15,0.05
1982,4,16,0.27
1982,4,17,3.56
1982,4,18,1.83
1982,4,19,2.22
1982,4,20,0.05
1982,4,21,0.02
1982,4,22,0.2
1982,4,23,0.85
1982,4,24,0.08
1982,4,25,0.87
1982,4,26,0.69
1982,4,27,0.46
1982,4,28,0.13
1982,4,29,0.0
1982,4,30,0.0
1982,5,1,0.0
1982,5,2,0.0
1982,5,3,0.13
1982,5,4,0.88
1982,5,5,0.07
1982,5,6,0.0
1982,5,7,0.0
1982,5,8,0.0
1982,5,9,0.0
1982,5,10,0.05
1982,5,11,0.76
1982,5,12,1.05
1982,5,13,3.06
1982,5,14,2.14
1982,5,15,0.45
1982,5,16,0.01
1982,5,17,0.0
1982,5,18,0.0
1982,5,19,0.02
1982,5,20,0.0
1982,5,21,0.0
1982,5,22,0.12
1982,5,23,0.0
1982,5,24,5.41
1982,5,25,0.0
1982,5,26,0.0
1982,5,27,0.0
1982,5,28,0.24
1982,5,29,2.02
1982,5,30,0.03
1982,5,31,0.0
1982,6,1,0.02
1982,6,2,0.0
1982,6,3,0.0
1982,6,4,0.38
1982,6,5,2.42
1982,6,6,1.53
1982,6,7,0.57
1982,6,8,0.46
1982,6,9,0.4
1982,6,10,1.6
1982,6,11,2.53
1982,6,12,0.59
1982,6,13,0.08
1982,6,14,0.52
1982,6,15,4.05
1982,6,16,6.6
1982,6,17,1.85
1982,6,18,0.34
1982,6,19,1.01
1982,6,20,0.04
1982,6,21,0.02
1982,6,22,0.01
1982,6,23,0.36
1982,6,24,7.94
1982,6,25,0.84
1982,6,26,0.14
1982,6,27,0.24
1982,6,28,0.08
1982,6,29,0.5
1982,6,30,0.56
1982,7,1,2.83
1982,7,2,1.5
1982,7,3,16.01
1982,7,4,1.41
1982,7,5,0.34
1982,7,6,1.38
1982,7,7,9.35
1982,7,8,3.15
1982,7,9,0.19
1982,7,10,0.74
1982,7,11,6.08
1982,7,12,0.54
1982,7,13,3.73
1982,7,14,0.72
1982,7,15,0.46
1982,7,16,0.98
1982,7,17,0.16
1982,7,18,0.01
1982,7,19,0.46
1982,7,20,2.34
1982,7,21,0.49
1982,7,22,0.08
1982,7,23,0.98
1982,7,24,7.86
1982,7,25,11.19
1982,7,26,29.05
1982,7,27,7.0
1982,7,28,4.43
1982,7,29,1.71
1982,7,30,4.0
1982,7,31,19.38
1982,8,1,9.54
1982,8,2,2.46
1982,8,3,2.26
1982,8,4,5.61
1982,8,5,11.72
1982,8,6,3.26
1982,8,7,6.32
1982,8,8,14.45
1982,8,9,9.83
1982,8,10,4.93
1982,8,11,1.31
1982,8,12,7.16
1982,8,13,2.2
1982,8,14,0.73
1982,8,15,0.17
1982,8,16,0.31
1982,8,17,2.0
1982,8,18,6.29
1982,8,19,4.38
1982,8,20,1.87
1982,8,21,0.49
1982,8,22,0.52
1982,8,23,0.61
1982,8,24,3.99
1982,8,25,0.85
1982,8,26,1.09
1982,8,27,1.69
1982,8,28,0.63
1982,8,29,11.89
1982,8,30,2.44
1982,8,31,5.08
1982,9,1,1.56
1982,9,2,0.08
1982,9,3,1.37
1982,9,4,13.63
1982,9,5,5.03
1982,9,6,0.37
1982,9,7,0.78
1982,9,8,0.15
1982,9,9,0.99
1982,9,10,6.17
1982,9,11,1.79
1982,9,12,3.46
1982,9,13,12.25
1982,9,14,7.55
1982,9,15,5.95
1982,9,16,0.52
1982,9,17,1.44
1982,9,18,0.68
1982,9,19,4.96
1982,9,20,15.15
1982,9,21,0.36
