Station Number,Year,Satellite Average
108,1981,2.4827397260273973
108,1982,1.8248493150684932
108,1983,1.9998630136986302
108,1984,1.56224043715847
108,1985,2.0135342465753427
108,1986,1.9878082191780821
108,1987,0.9477260273972603
108,1988,1.9190437158469946
108,1989,0.918986301369863
108,1990,1.5206849315068491
108,1991,1.0507123287671232
108,1992,1.080983606557377
108,1993,0.9903561643835617
108,1994,1.2637534246575342
108,1995,1.224
108,1996,1.6869945355191258
108,1997,1.2767945205479452
108,1998,1.2914246575342465
108,1999,0.8915068493150684
108,2000,1.945792349726776
108,2001,1.719095890410959
108,2002,1.375095890410959
108,2003,2.1135890410958904
108,2004,2.2528415300546447
108,2005,2.8718356164383563
108,2006,2.371945205479452
108,2007,3.2853972602739727
108,2008,3.0065027322404374
108,2009,2.411232876712329
108,2010,3.339917808219178
108,2011,3.5726027397260274
108,2012,2.214781420765027
108,2013,3.762191780821918
108,2014,2.6159701492537315
607,1981,2.9101643835616438
607,1982,1.9957260273972603
607,1983,1.5443287671232875
607,1984,2.22275956284153
607,1985,1.88372602739726
607,1986,1.4917260273972603
607,1987,1.8186301369863012
607,1988,2.2810109289617486
607,1989,1.5975616438356164
607,1990,2.054821917808219
607,1991,1.2154520547945205
607,1992,1.4727322404371583
607,1993,1.3184109589041098
607,1994,1.2141095890410958
607,1995,1.4913150684931509
607,1996,1.530928961748634
607,1997,0.7750958904109589
607,1998,1.5780821917808219
607,1999,0.9722191780821918
607,2000,1.6659016393442623
607,2001,1.5099178082191782
607,2002,0.9271506849315069
607,2003,1.1643013698630136
607,2004,3.057131147540984
607,2005,2.9741369863013696
607,2006,2.965178082191781
607,2007,3.4352328767123286
607,2008,4.080409836065574
607,2009,2.6295342465753424
607,2010,2.703260273972603
607,2011,3.168657534246575
607,2012,3.6460382513661203
607,2013,4.8519726027397265
607,2014,5.640597014925373
608,1981,2.068986301369863
608,1982,1.3522739726027397
608,1983,1.2011780821917808
608,1984,1.517158469945355
608,1985,1.3290684931506849
608,1986,1.1719452054794521
608,1987,1.2184383561643837
608,1988,1.5872950819672131
608,1989,1.059041095890411
608,1990,1.2733698630136987
608,1991,0.8407397260273973
608,1992,1.0048907103825138
608,1993,0.8683561643835616
608,1994,0.7822465753424657
608,1995,0.9973150684931507
608,1996,1.0510655737704917
608,1997,0.5940547945205479
608,1998,1.0343287671232877
608,1999,0.680027397260274
608,2000,1.1979234972677595
608,2001,1.100082191780822
608,2002,0.7077534246575342
608,2003,0.8643013698630138
608,2004,2.195655737704918
608,2005,2.1706301369863015
608,2006,2.144
608,2007,2.503260273972603
608,2008,2.8059016393442624
608,2009,1.863232876712329
608,2010,1.9226575342465753
608,2011,2.2693972602739727
608,2012,2.521857923497268
608,2013,3.5122739726027397
608,2014,3.9787462686567165
612,1981,2.068986301369863
612,1982,1.3522739726027397
612,1983,1.2011780821917808
612,1984,1.517158469945355
612,1985,1.3290684931506849
612,1986,1.1719452054794521
612,1987,1.2184383561643837
612,1988,1.5872950819672131
612,1989,1.059041095890411
612,1990,1.2733698630136987
612,1991,0.8407397260273973
612,1992,1.0048907103825138
612,1993,0.8683561643835616
612,1994,0.7822465753424657
612,1995,0.9973150684931507
612,1996,1.0510655737704917
612,1997,0.5940547945205479
612,1998,1.0343287671232877
612,1999,0.680027397260274
612,2000,1.1979234972677595
612,2001,1.100082191780822
612,2002,0.7077534246575342
612,2003,0.8643013698630138
612,2004,2.195655737704918
612,2005,2.1706301369863015
612,2006,2.144
612,2007,2.503260273972603
612,2008,2.8059016393442624
612,2009,1.863232876712329
612,2010,1.9226575342465753
612,2011,2.2693972602739727
612,2012,2.521857923497268
612,2013,3.5122739726027397
612,2014,3.9787462686567165
623,1981,2.068986301369863
623,1982,1.3522739726027397
623,1983,1.2011780821917808
623,1984,1.517158469945355
623,1985,1.3290684931506849
623,1986,1.1719452054794521
623,1987,1.2184383561643837
623,1988,1.5872950819672131
623,1989,1.059041095890411
623,1990,1.2733698630136987
623,1991,0.8407397260273973
623,1992,1.0048907103825138
623,1993,0.8683561643835616
623,1994,0.7822465753424657
623,1995,0.9973150684931507
623,1996,1.0510655737704917
623,1997,0.5940547945205479
623,1998,1.0343287671232877
623,1999,0.680027397260274
623,2000,1.1979234972677595
623,2001,1.100082191780822
623,2002,0.7077534246575342
623,2003,0.8643013698630138
623,2004,2.195655737704918
623,2005,2.1706301369863015
623,2006,2.144
623,2007,2.503260273972603
623,2008,2.8059016393442624
623,2009,1.863232876712329
623,2010,1.9226575342465753
623,2011,2.2693972602739727
623,2012,2.521857923497268
623,2013,3.5122739726027397
623,2014,3.9787462686567165
624,1981,2.068986301369863
624,1982,1.3522739726027397
624,1983,1.2011780821917808
624,1984,1.517158469945355
624,1985,1.3290684931506849
624,1986,1.1719452054794521
624,1987,1.2184383561643837
624,1988,1.5872950819672131
624,1989,1.059041095890411
624,1990,1.2733698630136987
624,1991,0.8407397260273973
624,1992,1.0048907103825138
624,1993,0.8683561643835616
624,1994,0.7822465753424657
624,1995,0.9973150684931507
624,1996,1.0510655737704917
624,1997,0.5940547945205479
624,1998,1.0343287671232877
624,1999,0.680027397260274
624,2000,1.1979234972677595
624,2001,1.100082191780822
624,2002,0.7077534246575342
624,2003,0.8643013698630138
624,2004,2.195655737704918
624,2005,2.1706301369863015
624,2006,2.144
624,2007,2.503260273972603
624,2008,2.8059016393442624
624,2009,1.863232876712329
624,2010,1.9226575342465753
624,2011,2.2693972602739727
624,2012,2.521857923497268
624,2013,3.5122739726027397
624,2014,3.9787462686567165
625,1981,2.068986301369863
625,1982,1.3522739726027397
625,1983,1.2011780821917808
625,1984,1.517158469945355
625,1985,1.3290684931506849
625,1986,1.1719452054794521
625,1987,1.2184383561643837
625,1988,1.5872950819672131
625,1989,1.059041095890411
625,1990,1.2733698630136987
625,1991,0.8407397260273973
625,1992,1.0048907103825138
625,1993,0.8683561643835616
625,1994,0.7822465753424657
625,1995,0.9973150684931507
625,1996,1.0510655737704917
625,1997,0.5940547945205479
625,1998,1.0343287671232877
625,1999,0.680027397260274
625,2000,1.1979234972677595
625,2001,1.100082191780822
625,2002,0.7077534246575342
625,2003,0.8643013698630138
625,2004,2.195655737704918
625,2005,2.1706301369863015
625,2006,2.144
625,2007,2.503260273972603
625,2008,2.8059016393442624
625,2009,1.863232876712329
625,2010,1.9226575342465753
625,2011,2.2693972602739727
625,2012,2.521857923497268
625,2013,3.5122739726027397
625,2014,3.9787462686567165
628,1981,0.0483013698630137
628,1982,0.07753424657534247
628,1983,0.058164383561643836
628,1984,0.0396448087431694
628,1985,0.036876712328767124
628,1986,0.10827397260273972
628,1987,0.04824657534246575
628,1988,0.06387978142076503
628,1989,0.03967123287671233
628,1990,0.02676712328767123
628,1991,0.0949041095890411
628,1992,0.07251366120218579
628,1993,0.026493150684931507
628,1994,0.07449315068493151
628,1995,0.028986301369863014
